sentence,word,semcor,nltk_lesk,simplified_lesk
The Georgia_Legislature will wind_up its 1961 session Monday and head for home - where some of the highway bond money it approved will follow shortly .,Monday,Synset('monday.n.01'),Synset('monday.n.01'),Synset('monday.n.01')
"Before adjournment Monday afternoon , the Senate is expected to approve a study of the number of legislators allotted to rural and urban_areas to determine what adjustments should be made .",rural,Synset('country.n.04'),Synset('rural.a.02'),Synset('rural.a.02')
Gov._Vandiver is expected to make the traditional visit to both chambers as they work toward adjournment .,visit,Synset('visit.n.02'),Synset('visit.v.07'),Synset('visit.v.08')
Vandiver likely will mention the $ 100 million highway bond issue approved earlier in the session as his first priority item .,item,Synset('token.n.01'),Synset('token.n.01'),Synset('detail.n.01')
"Meanwhile , it was learned the State_Highway_Department is very near being ready to issue the first $ 30 million worth of highway reconstruction bonds .",reconstruction,Synset('reconstruction.n.04'),Synset('reconstruction.n.04'),Synset('reconstruction.n.04')
"The bond issue will go to the state courts for a friendly test_suit to test the validity of the act , and_then the sales will begin and contracts let for repair work on some of Georgia 's most heavily traveled highways .",Georgia,Synset('georgia.n.03'),Synset('georgia.n.03'),Synset('georgia.n.03')
A Highway_Department source said there also is a plan there to issue some $ 3 million to $ 4 million worth of Rural_Roads_Authority bonds for rural road construction work .,construction,Synset('construction.n.07'),Synset('structure.n.01'),Synset('structure.n.01')
The department apparently intends to make the Rural_Roads_Authority a revolving_fund under which new bonds would be issued every time a portion of the old ones are paid_off by tax authorities .,time,Synset('prison_term.n.01'),Synset('time.v.05'),Synset('time.n.03')
Vandiver opened his race for governor in 1958 with a battle in the Legislature against the issuance of $ 50 million worth of additional rural roads bonds proposed by then Gov._Marvin_Griffin .,million,Synset('million.n.02'),Synset('million.s.01'),Synset('million.n.01')
"The Highway_Department source told The_Constitution , however , that Vandiver has not been consulted yet about the plans to issue the new rural roads bonds .",source,Synset('beginning.n.04'),Synset('source.n.07'),Synset('source.v.01')
Schley_County_Rep._B._D._Pelham will offer a resolution Monday in the House to rescind the body 's action of Friday in voting itself a $ 10 per day increase in expense allowances .,Friday,Synset('friday.n.01'),Synset('friday.n.01'),Synset('friday.n.01')
Pelham said Sunday night there was research being done on whether the `` quickie '' vote on the increase can be repealed outright or whether notice would have to first be given that reconsideration of the action would be sought .,night,Synset('nox.n.01'),Synset('night.n.06'),Synset('night.n.07')
"While emphasizing that technical details were not fully worked_out , Pelham said his resolution would seek to set_aside the privilege resolution which the House voted through 87 - 31 .",resolution,Synset('resolution.n.01'),Synset('solution.n.02'),Synset('solution.n.02')
A similar resolution passed in the Senate by a vote of 29 - 5 .,5,Synset('five.n.01'),Synset('five.s.01'),Synset('five.s.01')
"As of Sunday night , there was no word of a resolution being offered there to rescind the action .",action,Synset('action.n.02'),Synset('natural_process.n.01'),Synset('action.n.02')
Pelham pointed_out that Georgia voters last November rejected a constitutional amendment to allow legislators to vote on pay raises for future Legislature sessions .,November,Synset('november.n.01'),Synset('november.n.01'),Synset('november.n.01')
"A veteran Jackson_County legislator will ask the Georgia_House Monday to back federal aid to education , something it has consistently opposed in the past .",past,Synset('past.n.03'),Synset('past.s.02'),Synset('by.r.01')
"Rep._Mac_Barber of Commerce is asking the House in a privilege resolution to `` endorse increased federal support for public education , provided_that such funds be received and expended '' as state funds .",education,Synset('education.n.01'),Synset('education.n.04'),Synset('education.n.01')
"Barber , who is in his 13th year as a legislator , said there `` are some members of our congressional delegation in Washington who would_like to see it ( the resolution ) passed '' .",year,Synset('year.n.01'),Synset('year.n.03'),Synset('class.n.06')
But he added that none of Georgia 's congressmen specifically asked him to offer the resolution .,Georgia,Synset('georgia.n.03'),Synset('georgia.n.03'),Synset('georgia.n.03')
"The resolution , which Barber tossed into the House hopper Friday , will be formally read Monday .",Friday,Synset('friday.n.01'),Synset('friday.n.01'),Synset('friday.n.01')
"It says that `` in the event Congress does provide this increase in federal funds '' , the State_Board_of_Education should be directed to `` give priority '' to teacher pay raises .",event,Synset('consequence.n.01'),Synset('event.n.03'),Synset('consequence.n.01')
"After a long , hot controversy , Miller_County has a new school_superintendent , elected , as a policeman put it , in the `` coolest election I ever saw in_this county '' .",school_superintendent,Synset('school_superintendent.n.01'),Synset('school_superintendent.n.01'),Synset('school_superintendent.n.01')
"The new school_superintendent is Harry_Davis , a veteran agriculture teacher , who defeated Felix_Bush , a school_principal and chairman of the Miller_County_Democratic_Executive_Committee .",school_superintendent,Synset('school_superintendent.n.01'),Synset('school_superintendent.n.01'),Synset('school_superintendent.n.01')
"Davis received 1119 votes in Saturday 's election , and Bush got 402 .",election,Synset('election.n.01'),Synset('election.n.01'),Synset('election.n.02')
"Ordinary Carey_Williams , armed with a pistol , stood_by at the polls to insure order .",order,Synset('order.n.15'),Synset('rate.v.01'),Synset('orderliness.n.02')
"`` This was the coolest , calmest election I ever saw '' , Colquitt_Policeman_Tom_Williams said .",election,Synset('election.n.01'),Synset('election.n.01'),Synset('election.n.04')
`` Being at the polls was just like being at church .,polls,Synset('polls.n.01'),Synset('poll.v.04'),Synset('polls.n.01')
"I did n't smell a drop of liquor , and we did n't have a_bit of trouble '' .",drop,Synset('drop.n.09'),Synset('sink.v.01'),Synset('drop.v.20')
"The campaign leading to the election was not so quiet , however .",campaign,Synset('campaign.n.04'),Synset('political_campaign.n.01'),Synset('campaign.v.03')
"It was marked by controversy , anonymous midnight phone_calls and veiled threats of violence .",violence,Synset('violence.n.01'),Synset('violence.n.03'),Synset('violence.n.03')
"The former county school_superintendent , George_P._Callan , shot himself to death March 18 , four days after he resigned his post in a dispute with the county school_board .",post,Synset('post.n.11'),Synset('station.v.01'),Synset('mail.n.04')
"During the election campaign , both candidates , Davis and Bush , reportedly received anonymous telephone_calls .",telephone_calls,Synset('call.n.01'),Synset('call.n.01'),Synset('call.n.01')
"Ordinary Williams said he , too , was subjected to anonymous calls soon after he scheduled the election .",calls,Synset('call.n.01'),Synset('visit.v.03'),Synset('call.n.01')
"Many local citizens feared that there would be irregularities at the polls , and Williams got himself a permit to carry a gun and promised an orderly election .",permit,Synset('license.n.04'),Synset('license.n.04'),Synset('allow.v.10')
Sheriff_Felix_Tabb said the ordinary apparently made_good his promise .,promise,Synset('promise.n.02'),Synset('promise.v.01'),Synset('promise.v.04')
"`` Everything went real smooth '' , the sheriff said .",sheriff,Synset('sheriff.n.01'),Synset('sheriff.n.01'),Synset('sheriff.n.01')
`` There was n't a_bit of trouble '' .,trouble,Synset('trouble.n.01'),Synset('worry.n.02'),Synset('trouble.v.05')
